current-district,neighbour-districts
Ariyalur,
Chengalpattu,
Chennai,"Kancheepuram,Thiruvallur"
Coimbatore,
Cuddalore,"Nagapattinam,Ariyalur,Perambalur,Salem,Viluppuram,Puducherry"
Dharmapuri,"Salem,Chamarajanagara,Krishnagiri,Tiruvannamalai,Viluppuram"
Dindigul,"Madurai,Theni,Idukki,Tiruppur,Karur,Tiruchirappalli"
Erode,
Kallakurichi,
Kancheepuram,"Viluppuram,Tiruvannamalai,Vellore,Thiruvallur,Chennai"
Kanyakumari,"Thiruvananthapuram,Tirunelveli"
Karur,"Dindigul,Tiruppur,Erode,Namakkal,Tiruchirappalli"
Krishnagiri,"Dharmapuri,Chamarajanagara,Ramanagara,Bengaluru Rural,Bengaluru Urban,Kolar,Chittoor,Vellore,Tiruvannamalai"
Madurai,"Virudhunagar,Theni,Dindigul,Tiruchirappalli,Sivaganga"
Nagapattinam,
Namakkal,"Tiruchirappalli,Karur,Erode,Salem"
Nilgiris,
Perambalur,
Pudukkottai,
Ramanathapuram,
Ranipet,
Salem,"Ramanathapuram,Sivaganga,Tiruchirappalli,Thanjavur"
Sivaganga,
Tenkasi,
Thanjavur,
Theni,
Thiruvallur,"Chennai,Kancheepuram,Vellore,Chittoor,S.P.S. Nellore"
Thiruvarur,
Thoothukkudi,"Tirunelveli,Virudhunagar,Ramanathapuram"
Tiruchirappalli,"Madurai,Dindigul,Karur,Namakkal,Salem,Perambalur,Ariyalur,Thanjavur,Pudukkottai,Sivaganga"
Tirunelveli,"Thoothukkudi,Virudhunagar,Thiruvananthapuram,Kollam,Pathanamthitta,Idukki"
Tirupathur,
Tiruppur,
Tiruvannamalai,
Vellore,
Viluppuram,"Puducherry,Cuddalore,Perambalur,Salem,Dharmapuri,Tiruvannamalai,Kancheepuram"
Virudhunagar,
