current-district,neighbour-districts,,,,,,
Ariyalur,,,,,,,Ariyalur
Chengalpattu,,,,,,,Chengalpattu
Chennai,"Kancheepuram,Thiruvallur",,,,,,
Coimbatore,,,,,,,Coimbatore
Cuddalore,"Nagapattinam,Ariyalur,Perambalur,Salem,Viluppuram,Puducherry",,,,,,Cuddalore
Dharmapuri,"Salem,Chamarajanagara,Krishnagiri,Tiruvannamalai,Viluppuram",,,,,,Dharmapuri
Dindigul,"Madurai,Theni,Idukki,Tiruppur,Karur,Tiruchirappalli",,,,,,Dindigul
Erode,,,,,,,Erode
Kallakurichi,,,,,,,Kallakurichi
Kancheepuram,"Viluppuram,Tiruvannamalai,Vellore,Thiruvallur,Chennai",,,,,,Kancheepuram
Kanyakumari,"Thiruvananthapuram,Tirunelveli",,,,,,Kanyakumari
Karur,"Dindigul,Tiruppur,Erode,Namakkal,Tiruchirappalli",,,,,,Karur
Krishnagiri,"Dharmapuri,Chamarajanagara,Ramanagara,Bengaluru Rural,Bengaluru Urban,Kolar,Chittoor,Vellore,Tiruvannamalai",,,,,,Krishnagiri
Madurai,"Virudhunagar,Theni,Dindigul,Tiruchirappalli,Sivaganga",,,,,,Madurai
Nagapattinam,,,,,,,Nagapattinam
Namakkal,"Tiruchirappalli,Karur,Erode,Salem",,,,,,Namakkal
Nilgiris,,,,,,,Nilgiris
Perambalur,,,,,,,Perambalur
Pudukkottai,,,,,,,Pudukkottai
Ramanathapuram,,,,,,,Ramanathapuram
Ranipet,,,,,,,Ranipet
Salem,,,,,,,Salem
Sivaganga,,,,,,,Sivaganga
Tenkasi,,,,,,,Tenkasi
Thanjavur,,,,,,,Thanjavur
Theni,,,,,,,Theni
Thiruvallur,"Chennai,Kancheepuram,Vellore,Chittoor,S.P.S. Nellore",,,,,,Thiruvallur
Thiruvarur,,,,,,,Thiruvarur
Thoothukkudi,"Tirunelveli,Virudhunagar,Ramanathapuram ",,,,,,Thoothukkudi
Tiruchirappalli,"Madurai,Dindigul,Karur,Namakkal,Salem,Perambalur,Ariyalur,Thanjavur,Pudukkottai,Sivaganga",,,,,,Tiruchirappalli
Tirunelveli,"Thoothukkudi,Virudhunagar,Thiruvananthapuram,Kollam,Pathanamthitta,Idukki",,,,,,Tirunelveli
Tirupathur,,,,,,,Tirupathur
Tiruppur,,,,,,,Tiruppur
Tiruvannamalai,,,,,,,Tiruvannamalai
Vellore,,,,,,,Vellore
Viluppuram,"Puducherry,Cuddalore,Perambalur,Salem,Dharmapuri,Tiruvannamalai,Kancheepuram",,,,,,Viluppuram
Virudhunagar,,,,,,,Virudhunagar
